platform,priority,control,rationale,how_to_check,pass_criterion,current_state,remediation,owner,evidence
AWS,P0,"Durable, immutable, org-wide CloudTrail including S3 object-level data events on IP stores","Default CloudTrail is a 90-day rolling buffer of management events only; S3 object-level reads (the crown-jewel exfil signal for source/model weights) are data events that are OFF by default. Without this, mass download of IP produces no durable trace.","aws cloudtrail list-trails; for the org trail: aws cloudtrail get-trail --name <t> (expect IsOrganizationTrail=true, IsMultiRegionTrail=true, LogFileValidationEnabled=true); aws cloudtrail get-event-selectors --trail-name <t> (expect AdvancedEventSelectors capturing AWS::S3::Object for IP buckets); confirm the destination bucket is in a dedicated log-archive account with S3 Object Lock enabled and a delete-deny bucket policy.",Org-wide multi-region trail delivering to a dedicated log-archive account; log file validation ON; S3 Object Lock (compliance mode) + delete-deny on the destination; advanced event selectors capture S3 object-level reads on every bucket holding source/model weights.,,Create an organization trail from the management or delegated-admin account; enable multi-region + log file validation; add advanced event selectors for AWS::S3::Object on sensitive buckets; lock the destination bucket with Object Lock and an org-scoped delete-deny policy.,,
AWS,P0,"Org-wide GuardDuty with the relevant protection plans, delegated admin, and auto-enable for new accounts","GuardDuty's 'default-on' covers only the base feeders; the protection plans that matter for IP (S3 Protection, Malware, EKS/Runtime, RDS, Lambda) are per-plan opt-in. A vanilla enablement leaves the most relevant detections off, and new vended accounts can land uncovered.",aws guardduty list-detectors; aws guardduty get-detector --detector-id <id> (Status=ENABLED); aws guardduty describe-organization-configuration --detector-id <id> (AutoEnableOrganizationMembers=ALL; each desired Feature AutoEnable=NEW/ALL); confirm a delegated administrator account is set at the Organizations level.,"GuardDuty enabled in every active account/region via a delegated security account, with S3/Malware/EKS-Runtime/RDS/Lambda plans auto-enabled org-wide AND auto-enabled for new accounts.",,Designate a delegated GuardDuty admin; enable auto-enable=ALL for members and for each protection plan; backfill existing accounts; add a Config/Security Hub control alerting when a new account or region is uncovered.,,
AWS,P0,"Build the data perimeter: identity perimeter (SCP), resource perimeter (RCP), and VPC endpoint policies","For a multi-team org whose threat is IP exfiltration, the highest-leverage control is a coordinated perimeter: credentials can't be used from outside your networks (SCP + aws:SourceVpc/aws:PrincipalOrgID), and your data can't be copied to an attacker-controlled account (RCP + aws:PrincipalOrgID on the resource side). RCPs (Nov 2024) close the resource-policy blind spot SCPs never covered.","aws organizations list-policies --filter SERVICE_CONTROL_POLICY and --filter RESOURCE_CONTROL_POLICY; confirm an RCP enforcing aws:PrincipalOrgID is attached at the root/OU and covers S3, STS, SQS, KMS (and Bedrock/SageMaker/RDS where supported); confirm VPC endpoint policies on S3/Bedrock/STS endpoints restrict to the org; confirm SCPs deny credential use without aws:SourceVpc/aws:ViaAWSService where applicable.",An RCP enforcing aws:PrincipalOrgID is attached org-wide and covers the services holding IP; SCPs constrain credential origin; VPC endpoint policies scope access to the organization — composed as documented in the AWS data-perimeter guidance.,,"Adopt the AWS data-perimeter reference policies; roll out RCPs in audit/log mode first, then enforce; add aws:PrincipalOrgID resource-perimeter conditions per service; verify RCP service coverage for Bedrock/SageMaker/EC2-EBS/Lambda/RDS/EKS and compensate with resource policies where a service isn't yet RCP-supported.",,
AWS,P0,"Eliminate standing credentials: enforce IMDSv2 fleet-wide, retire IAM user access keys, and centralize/remove root","Long-lived IAM access keys are a top breach vector and IMDSv1 enables SSRF credential theft; neither is closed by default. Existing long-lived instances remain IMDSv1-reachable, and member-account root credentials are a latent blast radius.",aws accessanalyzer (unused-access findings) or IAM credential report for active user access keys >90 days; aws ec2 describe-instances --query 'Reservations[].Instances[].MetadataOptions.HttpTokens' (expect 'required'); confirm a Declarative Policy or SCP enforces IMDSv2 at launch; in Organizations confirm centralized root access management is enabled (member-account root credentials removed).,No long-lived IAM user access keys for humans (SSO/role-based instead); HttpTokens=required across the running fleet and enforced at launch org-wide; member-account root credentials centralized/removed.,,Move humans to IAM Identity Center; rotate/retire IAM user keys; set a Declarative Policy enforcing IMDSv2 at launch and run a campaign to flip existing instances to HttpTokens=required; enable Organizations centralized root access management.,,
AWS,P1,Security Hub org-wide aggregation with CIS/FSBP standards and auto-enable,"Security Hub is the cross-account posture brain (CSPM scores, ASFF/OCSF normalization) but is opt-in per account/region and must be configured to aggregate and auto-enable; absent it, posture drift across many accounts is invisible.",aws securityhub describe-hub; aws securityhub get-enabled-standards (expect AWS FSBP + CIS); aws securityhub list-organization-admin-accounts; confirm a finding aggregator (cross-region) and auto-enable for new org accounts.,"Security Hub enabled in all accounts/regions via a delegated admin, with FSBP + CIS standards on, cross-region aggregation configured, and auto-enable for new accounts.",,Delegate Security Hub to the security account; enable central configuration with a policy that turns on standards and auto-enables new accounts; wire findings to your SIEM/ticketing.,,
AWS,P1,AWS Config org-wide recording plus conformance packs for encryption and public-access drift,"Config recording underpins Control Tower detective guardrails and conformance packs, but it is not on by default in every account/region; without it, drift detection (public S3, unencrypted EBS, open SGs) silently does not run.",aws configservice describe-configuration-recorders and describe-configuration-recorder-status (recording=true) per account/region; aws configservice describe-conformance-packs (expect encryption/public-access packs); confirm org-wide aggregation.,"Configuration recording is ON in every active account/region, aggregated to the security account, with conformance packs evaluating encryption-at-rest and public-exposure rules.",,Enable Config recording org-wide (Control Tower or a StackSet); deploy encryption + public-access conformance packs; alert on non-compliant resources holding IP.,,
AWS,P1,"Confused-deputy hygiene: external IDs, aws:SourceArn/SourceAccount, and OIDC sub-claim conditions","Cross-account vendor roles without an external ID, service resource policies without aws:SourceArn/SourceAccount, and GitHub Actions OIDC trust policies with a missing/wildcard sub claim each silently expose IP to an outside principal — all opt-in conditions AWS does not add for you.","Review third-party AssumeRole trust policies for sts:ExternalId conditions; review S3/SNS/SQS/KMS/CloudTrail resource policies for aws:SourceArn/aws:SourceAccount; review every GitHub OIDC trust policy for an exact token.actions.githubusercontent.com:sub condition (repo:ORG/REPO:* scoped, no wildcard org). IAM Access Analyzer external-access findings surface unintended cross-account/public reach.","Every vendor role requires a unique external ID; service resource policies pin aws:SourceArn/SourceAccount; every OIDC trust policy has an exact, non-wildcard sub-claim condition; Access Analyzer external-access analyzer is enabled org-wide with zero unexpected findings.",,"Add the missing conditions; enable IAM Access Analyzer (external + unused) with a delegated admin; add CI custom-policy checks (CheckNoPublicAccess, CheckAccessNotGranted) to block regressions.",,
AWS,P1,Encryption-at-rest defaults: EBS encryption-by-default and per-team KMS CMKs with scoped key policies,"EBS encryption-by-default is opt-in per account/region (a new GPU account/region can create unencrypted volumes/snapshots of training data), and the stock KMS key policy delegates kms:* to the account root, so a CMK alone does NOT isolate data from any broad IAM admin in the same account.","aws ec2 get-ebs-encryption-by-default per account/region (expect true); inspect CMK key policies for the stock 'Enable IAM User Permissions' kms:* to root without scoping; confirm per-team CMKs and that cross-team decrypt is constrained by key policy + grants, ideally with account separation.","EBS encryption-by-default = true in every account/region bound to a CMK; per-team CMKs whose key policies do not grant blanket kms:* to root, so decrypt authority maps to the owning team.",,Enable EBS encryption-by-default org-wide (Declarative Policy/automation) bound to a CMK; replace stock key policies with scoped ones; separate the most sensitive IP into dedicated accounts so the account boundary backs the KMS boundary.,,
AWS,P1,"Supply-chain integrity: ECR enhanced scanning, image signing, and verification enforcement","ECR signing (AWS Signer) is off by default and there is NO native AWS-managed gate that blocks unsigned/tampered images on EKS, ECS, EC2, or Lambda — out of the box an unsigned image runs everywhere. Basic ECR scanning is shallow vs Inspector enhanced.",aws ecr describe-registry / get-registry-scanning-configuration (expect ENHANCED/Inspector); confirm AWS Signer signing profiles and signatures on images; on EKS confirm a verification admission controller (Gatekeeper+Ratify or Kyverno with the AWS Signer plugin) is installed and enforcing; on ECS confirm a verification Lambda gate.,ECR enhanced scanning on; production images signed via AWS Signer; a deploy-time verification gate rejects unsigned/untrusted images on each compute platform that runs them.,,Turn on ECR enhanced scanning; sign images in CI with AWS Signer; install an admission controller on EKS and a lifecycle Lambda gate on ECS; document that raw EC2/Lambda container images need a CI-side verification step.,,
AWS,P2,"Edge hardening for public AI/inference endpoints: WAF, rate-based rules, request validation, logging, and no unauthenticated Function URLs",WAF is opt-in and must be explicitly associated; rate-based rules have a documented multi-minute detection lag (a real cost-abuse hole for GPU-backed inference); API Gateway access/exec logging and WAF logging are off by default; Lambda Function URL AuthType NONE is a one-toggle public endpoint.,Confirm WAF web ACLs are associated with each public CloudFront/API Gateway/ALB; confirm rate-based rules (min limit as low as 10 since Aug 2024) and request validation; aws apigateway get-stage (access/exec logging on); confirm WAF logging destination; aws lambda get-function-url-config across functions (AuthType != NONE) and an SCP/guardrail blocking AuthType=NONE.,"Every public endpoint has an associated WAF with rate-based + managed rules, request validation and access/WAF logging enabled, and no Lambda Function URL uses AuthType=NONE.",,"Associate WAF with all public entry points; add rate-based rules sized to per-request GPU cost; enable API Gateway and WAF logging; add a guardrail denying Lambda Function URL AuthType=NONE; treat WAF rate limiting as one layer, not a hard ceiling.",,
AWS,P2,"Bedrock/SageMaker AI controls: mandatory Guardrails, model-scoped IAM, PrivateLink, and VPC-only training","Bedrock Guardrails are not enforced unless an IAM condition (bedrock:GuardrailIdentifier) requires them; model access and SageMaker network isolation are opt-in. For proprietary-IP workloads, prompt/response content is only captured if Bedrock model-invocation logging is enabled.","Check IAM policies for a bedrock:GuardrailIdentifier condition forcing a guardrail on InvokeModel; confirm model-scoped IAM (specific model ARNs, not bedrock:*); confirm PrivateLink (interface endpoints) to Bedrock with endpoint policies; aws sagemaker describe-* for VPC-only/no-direct-internet training and endpoints; confirm Bedrock model-invocation logging to a controlled, access-restricted bucket where content forensics is required.",Bedrock access requires a guardrail via IAM condition and is scoped to specific models over PrivateLink; SageMaker training/endpoints are VPC-only with no direct internet; model-invocation logging is enabled where content-level forensics is needed.,,Add the bedrock:GuardrailIdentifier condition and model-scoped ARNs; deploy Bedrock interface endpoints with org-scoped endpoint policies; enforce SageMaker VPC config; enable model-invocation logging into a locked-down bucket.,,
AWS,P2,"Tag governance and ABAC enforced by SCP, not Tag Policies alone","Tag Policies standardize tag values but do NOT force required tags to exist at resource creation; without SCP enforcement, team/cost-center/data-classification tags that ABAC and cost/isolation rely on are silently absent.","aws organizations describe-effective-policy --policy-type TAG_POLICY; confirm SCPs deny resource creation (e.g. ec2:RunInstances, s3 bucket creation) lacking aws:RequestTag/team & data-classification; sample resources for missing mandatory tags via Config.","Mandatory team and data-classification tags are enforced at creation by SCP conditions (aws:RequestTag/aws:TagKeys), and ABAC policies key off those tags; Config reports zero untagged IP-bearing resources.",,Pair Tag Policies (value hygiene) with SCPs that deny creation without the required tags; build ABAC permission sets on the enforced tags; add a Config rule flagging untagged resources.,,
