platform,signal,probe,claim,verdict,correction,evidence,reconciled
AWS,visibility,Is the current CloudTrail eventVersion 1.11 as the draft states?,eventVersion is currently 1.11 and follows documented major/minor compatibility rules.,confirmed,,https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-event-reference-record-contents.html,
AWS,visibility,Are sourceIPAddress and userIdentity marked Optional:False (always present)?,sourceIPAddress and userIdentity are marked Optional:False (always present); the listed top-level fields exist with documented Since versions.,confirmed,,https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-event-reference-record-contents.html,
AWS,visibility,"Does the userIdentity element document invokedByDelegate, inScopeOf, onBehalfOf, credentialId, sessionContext/sessionIssuer/mfaAuthenticated/sourceIdentity, invokedBy, and tlsDetails as the draft claims?","userIdentity exhaustively documents type, principalId, arn, accountId, accessKeyId, sessionContext (sessionIssuer, mfaAuthenticated, sourceIdentity), invokedBy, onBehalfOf/credentialId for IAM Identity Center, inScopeOf for service-to-service, and a new invokedByDelegate field flagging actions by product providers via delegated access.",confirmed,"All fields confirmed. invokedByDelegate exists and contains the product-provider accountId of a party using temporary delegated access. inScopeOf carries sourceArn/sourceAccount/issuerType/credentialsIssuedTo (e.g. AWS::Lambda::Function), confirming the 'originating resource' framing.",https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-event-reference-user-identity.html,
AWS,visibility,"Is CloudTrail Event history 90 days, management events only, free?","Event history is on automatically per Region, free, no setup, a 90-day rolling record of MANAGEMENT events only (no data events ever), viewable via console or LookupEvents.",confirmed,,https://docs.aws.amazon.com/awscloudtrail/latest/userguide/view-cloudtrail-events.html,
AWS,visibility,Are management events on by default while data events and network activity events are NOT logged by default and billed separately?,Management events are on by default for trails/event data stores; data events (S3/Lambda/DynamoDB/AI-ML) and network activity events (VPC-endpoint API calls) are NOT logged by default and incur additional charges.,confirmed,,https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-events.html,
AWS,visibility,"Are Amazon Bedrock InvokeModel-class operations data events that are NOT logged by default, as the 'Management vs DATA events' finding asserts?",Data events ... and notably AI/ML resource access such as Bedrock InvokeModel-class operations ... are NOT logged by default and incur additional per-event charges.,refuted,"Amazon Bedrock logs InvokeModel, InvokeModelWithResponseStream, Converse, and ConverseStream as MANAGEMENT events (the documented example shows ""managementEvent"": true and ""eventCategory"": ""Management""), so they ARE captured by default at no extra data-event charge. Only certain runtime ops are data events: InvokeModelWithBidirectionalStream, GetAsyncInvoke, StartAsyncInvoke, plus all Agents-for-Bedrock runtime ops (InvokeAgent, InvokeInlineAgent), Retrieve/RetrieveAndGenerate, InvokeFlow, RenderPrompt. The draft's premise that 'by default AWS records who changed configuration but NOT who invoked a model' is therefore wrong for the common Bedrock invocation APIs - the fact of the invocation (with principal, source IP, modelId) IS in the default management-event stream; what is NOT captured by CloudTrail is the prompt/response content (that requires Bedrock model invocation logging). Note SageMaker InvokeEndpoint remains a data event, so the SageMaker side of the claim still holds.",https://docs.aws.amazon.com/bedrock/latest/userguide/logging-using-cloudtrail.html,true
AWS,visibility,"Does CloudTrail capture Bedrock prompt/response content, or only the API call?",CloudTrail records the Bedrock API call (management/data event) but not the prompt/response content.,confirmed,,https://docs.aws.amazon.com/bedrock/latest/userguide/logging-using-cloudtrail.html,
AWS,visibility,"Is Amazon Bedrock model invocation logging disabled by default, with full prompt/response capture up to 100 KB to CloudWatch Logs and/or S3?","Bedrock model invocation logging captures full request/response data and metadata (input/output JSON bodies up to 100 KB) to CloudWatch Logs and/or S3, but is DISABLED by default and must be explicitly enabled per Region.",confirmed,,https://docs.aws.amazon.com/bedrock/latest/userguide/model-invocation-logging.html,
AWS,visibility,"Is CloudWatch Logs per-log-group retention configurable 1 day to 3653 days (10 years) with default 'Never Expire', including auto-created Lambda log groups?",CloudWatch Logs retention is configurable 1 day to 10 years (3653 days) or Never Expire; default for new log groups (including auto-created Lambda groups) is Never Expire (missing retentionInDays); must be set explicitly per log group.,confirmed,,https://docs.aws.amazon.com/AmazonCloudWatch/latest/logs/Working-with-log-groups-and-streams.html,
AWS,visibility,Do CloudTrail Lake event data stores support up to 3653 days under EXTENDABLE_RETENTION_PRICING and up to 2557 days under FIXED_RETENTION_PRICING?,CloudTrail Lake event data stores retain up to 3653 days (~10 years) under EXTENDABLE_RETENTION_PRICING or up to 2557 days (~7 years) under FIXED_RETENTION_PRICING.,confirmed,,https://docs.aws.amazon.com/awscloudtrail/latest/APIReference/API_CreateEventDataStore.html,
AWS,visibility,Does CloudTrail log file integrity validation use SHA-256 hashing and SHA-256-with-RSA signing with hourly digest files that chain to the previous digest?,"CloudTrail log file integrity validation creates hourly digest files using SHA-256 hashing and SHA-256-with-RSA signing, each digest chaining the previous one.",confirmed,,https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-log-file-validation-intro.html,
AWS,visibility,Can member accounts modify/disable/delete an organization trail or change its event selectors?,"An organization trail created from the management/delegated-admin account is visible to member accounts but cannot be modified, disabled, have its event selectors changed, or deleted by them.",confirmed,,https://docs.aws.amazon.com/awscloudtrail/latest/userguide/creating-trail-organization.html,
AWS,visibility,"Does Amazon Security Lake centralize and normalize CloudTrail management events plus S3/Lambda data events, VPC Flow Logs and more into OCSF with subscriber access?","Security Lake centralizes CloudTrail management events, S3/Lambda data events, VPC Flow Logs, and more, automatically normalizing them to the open OCSF schema in the customer's S3 (Parquet), with subscriber access for third-party SIEMs.",confirmed,,https://docs.aws.amazon.com/security-lake/latest/userguide/internal-sources.html,
AWS,identity_granularity,"Is STS role chaining hard-capped at 1 hour regardless of MaxSessionDuration, and is default AssumeRole session 3600s with MaxSessionDuration configurable up to 43200s (12h)?",Default session is 3600s (1h); MaxSessionDuration configurable on the role up to 43200s (12h); role chaining is hard-capped at 1 hour regardless of MaxSessionDuration.,confirmed,,https://docs.aws.amazon.com/STS/latest/APIReference/API_AssumeRole.html,
AWS,identity_granularity,"Does EKS Pod Identity (re:Invent 2023) use service principal pods.eks.amazonaws.com, require sts:AssumeRole + sts:TagSession, and auto-inject session tags eks-cluster-arn, kubernetes-namespace, kubernetes-service-account, kubernetes-pod-name?","EKS Pod Identity uses cluster-agnostic service principal pods.eks.amazonaws.com requiring sts:AssumeRole + sts:TagSession and auto-injects session tags (eks-cluster-arn, kubernetes-namespace, kubernetes-service-account, kubernetes-pod-name) usable in ABAC conditions; also supports session policies.",confirmed,"Accurate, but the auto-injected tag set is slightly larger than the draft lists. The current reference set is six tags: eks-cluster-arn, eks-cluster-name, kubernetes-namespace, kubernetes-service-account, kubernetes-pod-name, and kubernetes-pod-uid. The draft's four are a correct subset; consider noting eks-cluster-name and kubernetes-pod-uid for completeness. Session policy support for Pod Identity is also confirmed (later GA feature).",https://docs.aws.amazon.com/eks/latest/userguide/pod-id-abac.html,
AWS,identity_granularity,Is IAM Access Analyzer external-access analysis free while unused-access analysis is opt-in and priced per role/user/month?,Access Analyzer external-access findings are free; unused-access findings are opt-in and PRICED per role/user/month.,confirmed,"Confirmed. Exact figures: external access analysis is free; unused access analysis is $0.20 per IAM role or user per month (one analyzer per account/partition covers all regions, since roles/users are global); custom policy checks are $0.0020 per API call.",https://aws.amazon.com/iam/access-analyzer/pricing/,
AWS,identity_granularity,"Does the GitHub Actions OIDC sub claim change to repo:org/repo:environment:Name (dropping branch) when a job uses a GitHub environment, and ...:pull_request for PR runs?","The sub claim format changes when a job uses a GitHub environment (becomes repo:org/repo:environment:Name, dropping the branch); pull_request runs yield sub ...:pull_request; StringLike repo:org/* is dangerously permissive.",confirmed,,https://docs.github.com/en/actions/deployment/security-hardening-your-deployments/configuring-openid-connect-in-amazon-web-services,
AWS,identity_granularity,"Can root user access keys still be created (CLI/API/console) while AWS discourages them, and did AWS launch centralized root access management?",Root user access keys can still technically be created though AWS strongly advises against them and now blocks/discourages via console; long-lived IAM user keys have no expiry and no native auto-rotation.,confirmed,"Confirmed that root access keys remain creatable and are discouraged. Worth adding the current organizational control the draft does not mention: AWS launched Centralized Root Access Management for AWS Organizations on 2024-11-15, which lets a management account remove root credentials from member accounts entirely and perform short-term, task-scoped privileged root sessions (AssumeRoot) instead. This materially strengthens the org-wide root governance story.",https://aws.amazon.com/about-aws/whats-new/2024/11/manage-root-access-aws-identity-access-management/,
AWS,identity_granularity,"Does IAM Roles Anywhere use the extended SigV4 schemes AWS4-X509-RSA-SHA256 / AWS4-X509-ECDSA-SHA256 via CreateSession, with the private key handled by aws_signing_helper as a credential_process and a trust anchor (Private CA or external CA)?",CreateSession is signed with extended SigV4 (AWS4-X509-RSA-SHA256 / AWS4-X509-ECDSA-SHA256); private key never leaves host (aws_signing_helper via credential_process); returns standard short-lived STS creds; trust anchor is AWS Private CA or external CA.,confirmed,"Accurate. Minor currency note: AWS has since added a post-quantum signing variant (AWS4-X509-MLDSA) alongside the RSA/ECDSA schemes, so the scheme list is now three, not two. Not an error in the draft, just an addition.",https://docs.aws.amazon.com/rolesanywhere/latest/userguide/authentication-sign-process.html,
AWS,identity_granularity,"Do awslabs/mcp servers honor the boto3 credential chain and support read-only via READ_OPERATIONS_ONLY / --readonly flags, with IAM permissions as the primary control?","awslabs/mcp servers honor the standard boto3 credential chain; read-only via READ_OPERATIONS_ONLY / --readonly flags AND via scoping the IAM principal; AWS docs state IAM permissions remain the primary security control, not the server flag.",confirmed,,https://awslabs.github.io/mcp/servers/iam-mcp-server,
AWS,identity_granularity,"Is Secrets Manager automatic rotation off by default (requires configured rotation Lambda/managed rotation + schedule), and does Parameter Store have no built-in rotation?",Secrets Manager supports automatic rotation but it is NOT enabled by default; Parameter Store has NO built-in rotation at all.,confirmed,,https://docs.aws.amazon.com/secretsmanager/latest/userguide/rotating-secrets.html,
AWS,identity_granularity,"Does ec2:RunInstances in the current Service Authorization Reference require permissions across exactly the eight resource types the draft enumerates (instance, image, subnet, network-interface, security-group, key-pair, volume, spot-instances-request)?","ec2:RunInstances requires permissions across up to eight distinct resource types: instance, image, subnet, network-interface, security-group, key-pair, volume, and spot-instances-request.",outdated,"The core point (RunInstances is one action spanning many resource types, the multi-resource-type footgun) is correct, but the enumeration is stale. The current Service Authorization Reference lists TWELVE resource types for ec2:RunInstances, not eight: image, instance, network-interface, security-group, subnet, and volume are marked required (*), plus key-pair, elastic-gpu, capacity-reservation, placement-group, launch-template, and license-configuration as optional. 'spot-instances-request' is NOT among the resource types for RunInstances in the current reference (it is associated with other Spot actions). Recommend changing 'up to eight (... spot-instances-request)' to 'up to twelve' and dropping spot-instances-request from the RunInstances list (or replacing it with elastic-gpu / capacity-reservation / placement-group / launch-template / license-configuration).",https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonec2.html,true
AWS,identity_granularity,Are data-plane API calls authenticated with SigV4-signed request headers (session token in X-Amz-Security-Token header) rather than URL query params for normal use?,"All data-plane API calls are authenticated with SigV4-signed request headers (not URL query params for normal use), so credentials are not exposed in URLs; STS-derived creds default to 1 hour, configurable up to 12 hours.",confirmed,Correct as qualified. For normal signed requests the session token rides in the X-Amz-Security-Token header (not the URL). The draft's 'for normal use' caveat is important and accurate: AWS does also support presigned/query-string SigV4 (used by S3 presigned URLs and STS GetCallerIdentity presign for IAM auth) where the token and signature appear as query parameters by design - so the claim holds for standard SDK/CLI calls but is not absolute across all SigV4 usage.,https://docs.aws.amazon.com/IAM/latest/UserGuide/reference_sigv-create-signed-request.html,
AWS,identity_granularity,"Are both IRSA and EKS Pod Identity current/supported, with Pod Identity complementing rather than replacing IRSA?","IRSA (OIDC-provider-based, per-cluster trust-policy edits) is now complemented by EKS Pod Identity (re:Invent 2023); IRSA is subject to per-account OIDC-provider and trust-policy-size limits.",confirmed,Confirmed. AWS explicitly states the two coexist and that it will continue investing in and supporting IRSA; Pod Identity is the recommended path for in-cloud EKS while IRSA remains required for EKS Anywhere / ROSA / self-managed clusters. The 'complemented' framing is accurate - Pod Identity does not deprecate IRSA.,https://docs.aws.amazon.com/eks/latest/userguide/iam-roles-for-service-accounts.html,
AWS,supply_chain,"Does ECR's GetAuthorizationToken really produce a token valid 12 hours whose permission scope equals the calling IAM principal, with no long-lived/shared registry passwords?","ECR uses IAM exclusively; a docker/notation login obtains a base64 authorization token via GetAuthorizationToken whose permission scope exactly equals the calling IAM principal's, valid 12 hours; no long-lived registry passwords, no cross-tenant shared credential.",confirmed,,https://docs.aws.amazon.com/AmazonECR/latest/userguide/registry_auth.html,
AWS,supply_chain,"Did ECR managed signing (auto-sign on push via AWS Signer) actually reach GA in November 2025, and is signing opt-in/off by default?","ECR supports managed signing (auto-sign on push, GA Nov 2025) plus manual Notation-CLI signing; signing is opt-in (off by default); signatures stored as OCI artifacts beside the image.",confirmed,,https://aws.amazon.com/about-aws/whats-new/2025/11/amazon-ecr-managed-container-image-signing/,
AWS,supply_chain,"Does Amazon EKS provide a NATIVE/managed signature-verification gate that blocks unsigned images, distinct from ECS which needs a custom Lambda?","Verification/enforcement is uneven: EKS has a native managed verification path, ECS requires you to build a Lambda admission controller; no native gate for raw EC2 or Lambda container images.",refuted,"EKS has NO native/AWS-managed signature-verification gate. AWS's own EKS guide says verifying AWS Signer signatures at deployment requires customer-installed third-party admission controllers (Gatekeeper+Ratify with the AWS Signer plugin, or Kyverno with the AWS Signer plugin), plus a Notation trust store/policy. So enforcement is customer-assembled on BOTH EKS and ECS (EKS via an open-source admission controller webhook, ECS via a Lambda wired to task lifecycle/EventBridge). The draft's framing that EKS is 'native managed' while ECS is hand-built is inaccurate; neither is a turnkey native gate. The rest of the finding (off-by-default signing, no native gate for raw EC2/Lambda container images, unsigned images run by default) is correct.",https://docs.aws.amazon.com/eks/latest/userguide/image-verification.html,true
AWS,supply_chain,Is the ECS verification path really a customer-built Lambda admission controller tied to service lifecycle hooks?,ECS requires you to build a Lambda admission controller wired to service lifecycle hooks (to verify AWS Signer signatures).,confirmed,"Confirmed in substance: ECS verification is a customer-built pattern using a Lambda that runs Notation CLI + AWS Signer, triggered via EventBridge task-state-change events and/or ECS service lifecycle hooks. There is no native ECS gate.",https://containersonaws.com/pattern/ecs-fargate-container-image-signing-and-verification/,
AWS,supply_chain,"Is ECR basic scanning on by default (OS packages, Clair CVE DB, scan-on-push not continuous), with enhanced/Inspector scanning opt-in, registry-wide, and Inspector-billed?","Basic scanning is on by default per private registry, covers only OS packages via Clair-style CVE matching, scans on push of changed images not continuously; enhanced (Inspector) adds OS + language-package coverage and continuous re-scan, is opt-in, billed through Inspector, converts all repos, deactivated only by the Inspector delegated admin.",confirmed,Accurate. Minor freshness note (not a defect): AWS now also offers an 'improved basic scanning' option powered by Amazon Inspector as an alternative to the legacy Clair-based basic scanner; the legacy Clair-based default the draft describes is still correct.,https://docs.aws.amazon.com/AmazonECR/latest/userguide/image-scanning.html,
AWS,supply_chain,"Are Lambda and Fargate each run in a dedicated Firecracker microVM with its own kernel, giving VM-grade tenant isolation by default, while EKS standard nodes share the node kernel across pods?",Lambda and Fargate run each task/invocation in a dedicated Firecracker microVM with its own kernel on Nitro bare-metal (no shared guest kernel across tenants); EKS standard worker nodes run pods as containers sharing the node kernel.,confirmed,,https://d1.awsstatic.com/whitepapers/AWS_Fargate_Security_Overview_Whitepaper.pdf,
AWS,supply_chain,"Are NitroTPM PCR0/1 AWS-controlled early boot and PCR4/7/12 used to validate the AMI / Secure Boot state, with KMS attestation condition keys?","NitroTPM (TPM 2.0) + UEFI Secure Boot give measured boot; PCR0/1 measure AWS-controlled early boot, PCR4/7/12 validate the AMI/Secure Boot state; KMS can gate key release on these.",confirmed,"Confirmed and current: PCR0/1 measure AWS-controlled early boot code; PCR4 (boot binary) + PCR12 (command line) validate standard boot of an Attestable AMI, and PCR7 validates UEFI Secure Boot state. KMS exposes kms:RecipientAttestation:NitroTPMPCR4/PCR7/PCR12 condition keys to gate key use.",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/nitrotpm-attestation-document-content.html,
AWS,supply_chain,"Do Nitro Enclaves produce a signed attestation document with PCRs that KMS can natively gate Decrypt/GenerateDataKey on, and can parent-instance root not read enclave memory?","Nitro Enclaves give isolated execution where even root on the parent EC2 instance cannot read enclave memory, and produce a hypervisor-signed attestation document (PCR measurements) that KMS can natively gate key release on.",confirmed,,https://docs.aws.amazon.com/kms/latest/developerguide/conditions-nitro-enclaves.html,
AWS,supply_chain,"Are standard KMS keys in FIPS 140-3 validated HSMs (key material never leaving HSM, no AWS employee export), with CMK key policies and CloudHSM custom key stores / XKS available?",Standard KMS keys live in AWS FIPS 140-3-validated HSMs; no one including AWS employees can export plaintext key material; CMKs add a key-policy authorization layer; CloudHSM-backed custom key stores and External Key Store (XKS) are available.,confirmed,"Confirmed and current: AWS KMS HSMs received FIPS 140-3 Security Level 3 validation from NIST in Feb 2025 (an upgrade from the prior FIPS 140-2 Level 3), so 'FIPS 140-3-validated' is accurate.",https://aws.amazon.com/blogs/security/aws-kms-now-fips-140-2-level-3-what-does-this-mean-for-you/,
AWS,supply_chain,"Is SSE-S3 (AES-256) applied to all new object uploads since Jan 5 2023, and are Block Public Access auto-enabled + ACLs disabled (Object Ownership = BucketOwnerEnforced) for all new buckets since April 2023 across all creation paths?",SSE-S3 (AES-256) is applied to all new object uploads automatically since Jan 5 2023; S3 Block Public Access auto-enabled and ACLs disabled (Object Ownership = BucketOwnerEnforced) for all NEW buckets since April 2023 regardless of creation path (console/CLI/SDK/CloudFormation).,confirmed,,https://docs.aws.amazon.com/AmazonS3/latest/userguide/ensure-object-ownership.html,
AWS,supply_chain,"Does Secrets Manager support automatic rotation with native Lambda for RDS/Redshift/DocumentDB and custom for others, and ECS/EKS injection via execution role / ASCP+CSI scoped by IAM?","Secrets Manager supports automatic rotation (native Lambda for RDS/Redshift/DocumentDB, custom for others); ECS/Fargate injection via task-definition secret references resolved by the task execution role; EKS via ASCP + Secrets Store CSI driver scoped to pods via IRSA.",confirmed,"Accurate, with a freshness addition: in addition to the Lambda-based rotation templates the draft describes (still available for RDS/Aurora/Redshift/DocumentDB), AWS now also offers fully MANAGED rotation for RDS/Aurora/Redshift/DocumentDB master/admin credentials where you 'never touch Lambda at all'. So rotation is no longer Lambda-only for those engines.",https://docs.aws.amazon.com/secretsmanager/latest/userguide/rotate-secrets_managed.html,
AWS,supply_chain,"Does AWS Marketplace run a self-service AMI/container scan sellers must pass (no known CVEs/malware), review submissions against policy, and continuously re-scan listings, contacting sellers on new CVEs?","Marketplace runs a self-service AMI/container scan sellers must pass before listing (no known CVEs/malware), AWS reviews submissions against Marketplace policies, and continuously re-scans listings, contacting sellers when new CVEs affect a product.",confirmed,,https://docs.aws.amazon.com/marketplace/latest/userguide/product-and-ami-policies.html,
AWS,org_maturity,Is Chris Betz still the AWS CISO as the draft claims?,"Chris Betz is AWS CISO (since Aug 2023, ex-Capital One CISO).",outdated,"Chris Betz was AWS CISO from August 2023 but stepped out of the role in June 2025. Amy Herzog (former MITRE principal security engineer; previously CISO for Amazon's Devices & Services / Media & Entertainment / Advertising businesses) is the current AWS VP & CISO — she keynoted re:Inforce in June 2025 as AWS CISO and gave interviews as CISO in Aug 2025. Chris Betz moved to VP, Infrastructure Security at AWS. The 'since Aug 2023' / 'ex-Capital One' history for Betz is accurate, but he is no longer the sitting AWS CISO.",https://www.thestack.technology/amy-herzog-new-aws-ciso/,true
AWS,org_maturity,Is Steve Schmidt still Amazon Chief Security Officer?,"Steve Schmidt is Amazon Chief Security Officer (covering AWS, amazon.com, Devices, Kuiper, etc.).",confirmed,"Confirmed current. Steve (Stephen) Schmidt remains Amazon CSO as of Dec 2025 (Fortune, Dec 17 2025; The Record 2025), formerly AWS CISO before being elevated to the Amazon-wide CSO role.",https://fortune.com/2025/12/17/amazon-cybersecurity-north-korea-hackers-cio-intelligence/,
AWS,org_maturity,Exact GA/launch date of the AWS European Sovereign Cloud.,"The AWS European Sovereign Cloud launched Jan 14 2026 (Brandenburg, Germany).",refuted,"The AWS European Sovereign Cloud reached general availability on January 15, 2026 (announced in Potsdam, Germany), not January 14. First Region is in Brandenburg, Germany. It is operated exclusively by EU residents under a new EU parent company and three German GmbH subsidiaries led by EU citizens, with no critical dependencies on non-EU infrastructure — consistent with the draft's jurisdiction framing. Only the date (Jan 14 vs Jan 15) is wrong.",https://press.aboutamazon.com/aws/2026/1/aws-launches-aws-european-sovereign-cloud-and-announces-expansion-across-europe,true
